"","ERBB2","FGFR1","FLT3"
"TCGA-AA-3984",0,0,0
"TCGA-AA-3986",0,0,0
"TCGA-AA-3989",0,0,0
"TCGA-AA-3994",0,0,0
"TCGA-AA-A004",0,0,0
"TCGA-AA-A00A",0,0,0
"TCGA-AA-A00D",0,0,0
"TCGA-AA-A00E",0,0,0
"TCGA-AA-A00F",0,0,0
"TCGA-AA-A00J",0,0,0
"TCGA-AA-A00K",0,0,0
"TCGA-AA-A00L",0,0,0
"TCGA-AA-A00N",0,0,0
"TCGA-AA-A00O",0,0,0
"TCGA-AA-A00Q",0,0,0
"TCGA-AA-A00R",0,0,0
"TCGA-AA-A00U",0,0,0
"TCGA-AA-A00W",0,0,0
"TCGA-AA-A00Z",0,0,0
"TCGA-AA-A010",0,0,0
"TCGA-AA-A017",0,0,0
"TCGA-AA-A01C",0,0,0
"TCGA-AA-A01D",0,0,0
"TCGA-AA-A01F",0,0,0
"TCGA-AA-A01G",0,0,0
"TCGA-AA-A01I",0,0,0
"TCGA-AA-A01K",0,0,0
"TCGA-AA-A01P",0,0,0
"TCGA-AA-A01Q",0,0,0
"TCGA-AA-A01R",0,0,0
"TCGA-AA-A01S",0,0,0
"TCGA-AA-A01T",0,0,0
"TCGA-AA-A01V",0,0,0
"TCGA-AA-A01X",0,0,0
"TCGA-AA-A01Z",0,0,0
"TCGA-AA-A022",0,0,0
"TCGA-AA-A024",0,0,0
"TCGA-AA-A029",0,0,0
"TCGA-AA-A02E",0,0,0
"TCGA-AA-A02F",0,0,0
"TCGA-AA-A02H",0,0,0
"TCGA-AA-A02J",0,0,0
"TCGA-AA-A02O",0,0,0
"TCGA-AA-A02R",0,0,0
"TCGA-AA-A02W",0,0,0
"TCGA-AA-A02Y",0,0,0
"TCGA-AA-A03F",0,0,0
"TCGA-AA-A03J",0,0,0
"TCGA-AD-5900",0,0,0
"TCGA-AD-6548",0,0,0
"TCGA-AD-6888",0,0,0
"TCGA-AD-6889",0,0,0
"TCGA-AD-6890",0,0,0
"TCGA-AD-6895",0,0,0
"TCGA-AD-6899",0,0,0
"TCGA-AD-6901",0,0,0
"TCGA-AD-6963",0,0,0
"TCGA-AD-6964",0,0,0
"TCGA-AD-6965",0,0,0
"TCGA-AD-A5EJ",0,0,0
"TCGA-AD-A5EK",0,0,0
"TCGA-AM-5820",0,0,0
"TCGA-AM-5821",0,0,0
"TCGA-AU-3779",0,0,0
"TCGA-AU-6004",0,0,0
"TCGA-AY-4070",0,0,0
"TCGA-AY-4071",0,0,0
"TCGA-AY-5543",0,0,0
"TCGA-AY-6196",0,0,0
"TCGA-AY-6197",0,0,0
"TCGA-AY-6386",0,0,0
"TCGA-AY-A54L",0,0,0
"TCGA-AY-A69D",0,0,0
"TCGA-AY-A71X",0,0,0
"TCGA-AY-A8YK",0,0,0
"TCGA-AZ-4308",0,0,0
"TCGA-AZ-4313",0,0,0
"TCGA-AZ-4315",0,0,0
"TCGA-AZ-4323",0,0,0
"TCGA-AZ-4614",0,1,0
"TCGA-AZ-4615",0,0,0
"TCGA-AZ-4616",0,0,0
"TCGA-AZ-4681",0,0,0
"TCGA-AZ-4682",0,0,0
"TCGA-AZ-4684",0,0,0
"TCGA-AZ-5403",0,0,0
"TCGA-AZ-5407",0,0,0
"TCGA-AZ-6598",0,0,0
"TCGA-AZ-6599",0,0,0
"TCGA-AZ-6600",0,0,0
"TCGA-AZ-6601",0,0,0
"TCGA-AZ-6603",0,0,0
"TCGA-AZ-6605",0,0,0
"TCGA-AZ-6606",0,0,0
"TCGA-AZ-6607",0,0,0
"TCGA-AZ-6608",0,0,0
"TCGA-CA-5254",0,0,0
"TCGA-CA-5255",0,0,0
"TCGA-CA-5256",0,0,0
"TCGA-CA-5796",0,0,0
"TCGA-CA-5797",0,0,0
"TCGA-CA-6715",0,0,0
"TCGA-CA-6716",0,0,0
"TCGA-CA-6717",0,0,0
"TCGA-CA-6718",0,0,0
"TCGA-CA-6719",0,0,0
"TCGA-CK-4947",0,0,0
"TCGA-CK-4948",0,0,0
"TCGA-CK-4950",0,0,0
"TCGA-CK-4951",0,0,0
"TCGA-CK-4952",0,0,0
"TCGA-CK-5912",0,0,0
"TCGA-CK-5913",0,0,0
"TCGA-CK-5914",0,0,0
"TCGA-CK-5915",0,0,0
"TCGA-CK-5916",0,0,0
"TCGA-CK-6746",0,0,0
"TCGA-CK-6747",0,0,0
"TCGA-CK-6748",0,0,0
"TCGA-CK-6751",0,0,0
"TCGA-CM-4743",0,0,0
"TCGA-CM-4744",0,0,0
"TCGA-CM-4746",0,0,0
"TCGA-CM-4747",0,0,0
"TCGA-CM-4748",0,0,0
"TCGA-CM-4750",0,0,0
"TCGA-CM-4751",0,0,0
"TCGA-CM-4752",0,0,0
"TCGA-CM-5341",0,0,0
"TCGA-CM-5344",0,0,0
"TCGA-CM-5348",0,0,0
"TCGA-CM-5349",0,0,0
"TCGA-CM-5860",0,0,0
"TCGA-CM-5861",0,0,0
"TCGA-CM-5862",0,0,1
"TCGA-CM-5863",0,0,0
"TCGA-CM-5864",0,0,0
"TCGA-CM-5868",0,0,0
"TCGA-CM-6161",0,0,0
"TCGA-CM-6162",0,0,0
"TCGA-CM-6163",0,0,0
"TCGA-CM-6164",0,0,0
"TCGA-CM-6165",0,0,0
"TCGA-CM-6166",0,0,0
"TCGA-CM-6167",0,0,0
"TCGA-CM-6168",0,0,0
"TCGA-CM-6169",0,0,0
"TCGA-CM-6170",0,0,0
"TCGA-CM-6171",0,0,0
"TCGA-CM-6172",0,0,0
"TCGA-CM-6674",0,0,0
"TCGA-CM-6675",0,0,0
"TCGA-CM-6676",0,0,0
"TCGA-CM-6677",0,0,0
"TCGA-CM-6678",0,0,0
"TCGA-CM-6679",0,0,0
"TCGA-CM-6680",0,0,0
"TCGA-D5-5537",0,0,0
"TCGA-D5-5538",0,0,0
"TCGA-D5-5539",0,0,0
"TCGA-D5-5540",0,0,0
"TCGA-D5-5541",0,0,0
"TCGA-D5-6529",0,0,0
"TCGA-D5-6530",0,0,0
"TCGA-D5-6531",0,0,0
"TCGA-D5-6532",0,0,0
"TCGA-D5-6533",0,0,0
"TCGA-D5-6534",0,0,0
"TCGA-D5-6535",0,0,0
"TCGA-D5-6536",0,0,0
"TCGA-D5-6537",0,0,0
"TCGA-D5-6538",0,1,0
"TCGA-D5-6539",0,0,0
"TCGA-D5-6540",0,0,0
"TCGA-D5-6541",0,0,0
"TCGA-D5-6898",0,0,0
"TCGA-D5-6920",0,0,0
"TCGA-D5-6922",0,0,0
"TCGA-D5-6923",0,0,0
"TCGA-D5-6924",0,0,0
"TCGA-D5-6926",0,0,0
"TCGA-D5-6927",0,0,0
"TCGA-D5-6928",0,0,0
"TCGA-D5-6929",0,0,0
"TCGA-D5-6930",0,0,0
"TCGA-D5-6931",0,0,0
"TCGA-D5-6932",0,0,0
"TCGA-D5-7000",0,0,0
"TCGA-DM-A0X9",0,0,0
"TCGA-DM-A0XD",0,0,0
"TCGA-DM-A0XF",0,0,0
"TCGA-DM-A1D0",0,0,0
"TCGA-DM-A1D4",0,0,-1
"TCGA-DM-A1D6",0,0,0
"TCGA-DM-A1D7",0,0,0
"TCGA-DM-A1D8",0,0,0
"TCGA-DM-A1D9",0,0,0
"TCGA-DM-A1DA",0,0,0
"TCGA-DM-A1DB",0,0,0
"TCGA-DM-A1HA",0,0,0
"TCGA-DM-A1HB",0,0,0
"TCGA-DM-A280",0,0,0
"TCGA-DM-A282",0,0,0
"TCGA-DM-A285",0,0,0
"TCGA-DM-A288",0,0,0
"TCGA-DM-A28A",0,0,0
"TCGA-DM-A28C",0,0,0
"TCGA-DM-A28E",0,0,0
"TCGA-DM-A28F",0,0,0
"TCGA-DM-A28G",0,0,0
"TCGA-DM-A28H",0,0,0
"TCGA-DM-A28K",0,0,0
"TCGA-DM-A28M",0,0,0
"TCGA-F4-6459",0,0,1
"TCGA-F4-6460",0,0,0
"TCGA-F4-6461",0,0,0
"TCGA-F4-6463",0,0,0
"TCGA-F4-6569",0,0,0
"TCGA-F4-6570",0,0,0
"TCGA-F4-6703",0,0,0
"TCGA-F4-6704",0,0,0
"TCGA-F4-6805",0,0,0
"TCGA-F4-6806",0,0,0
"TCGA-F4-6807",0,0,0
"TCGA-F4-6808",0,0,0
"TCGA-F4-6809",0,0,0
"TCGA-F4-6854",0,0,0
"TCGA-F4-6855",0,0,0
"TCGA-F4-6856",0,0,0
"TCGA-G4-6293",0,0,0
"TCGA-G4-6294",0,0,0
"TCGA-G4-6295",0,0,0
"TCGA-G4-6297",0,0,0
"TCGA-G4-6298",0,0,0
"TCGA-G4-6299",0,0,0
"TCGA-G4-6302",0,0,0
"TCGA-G4-6303",0,0,0
"TCGA-G4-6304",0,0,0
"TCGA-G4-6306",0,0,0
"TCGA-G4-6307",0,0,0
"TCGA-G4-6309",0,0,0
"TCGA-G4-6310",0,0,0
"TCGA-G4-6311",0,0,0
"TCGA-G4-6314",0,0,0
"TCGA-G4-6315",0,0,0
"TCGA-G4-6317",0,0,0
"TCGA-G4-6320",0,0,0
"TCGA-G4-6321",0,0,0
"TCGA-G4-6322",0,0,0
"TCGA-G4-6323",0,0,0
"TCGA-G4-6586",0,0,0
"TCGA-G4-6588",0,0,0
"TCGA-G4-6625",0,0,0
"TCGA-G4-6626",0,0,0
"TCGA-G4-6627",0,0,0
"TCGA-G4-6628",0,0,0
"TCGA-NH-A50T",0,0,0
"TCGA-NH-A50U",0,0,0
"TCGA-NH-A50V",0,0,0
"TCGA-NH-A5IV",0,0,0
"TCGA-NH-A6GA",0,0,0
"TCGA-NH-A6GB",0,0,0
"TCGA-NH-A6GC",0,0,0
"TCGA-NH-A8F7",0,0,0
"TCGA-NH-A8F8",0,0,0
"TCGA-QG-A5YV",0,0,0
"TCGA-QG-A5YW",0,0,0
"TCGA-QG-A5YX",0,0,0
"TCGA-QG-A5Z1",0,0,0
"TCGA-QG-A5Z2",0,0,0
"TCGA-QL-A97D",0,0,0
"TCGA-RU-A8FL",0,0,0
"TCGA-SS-A7HO",0,0,0
"TCGA-T9-A92H",0,0,0
"TCGA-WS-AB45",0,0,0
"TCGA-AF-2687",0,0,0
"TCGA-AF-2689",0,1,0
"TCGA-AF-2690",0,0,0
"TCGA-AF-2691",0,0,0
"TCGA-AF-2692",0,0,0
"TCGA-AF-2693",0,0,1
"TCGA-AF-3400",0,0,0
"TCGA-AF-3911",0,0,0
"TCGA-AF-3913",0,0,0
"TCGA-AF-4110",0,0,0
"TCGA-AF-5654",0,0,0
"TCGA-AF-6136",0,0,0
"TCGA-AF-6655",0,0,0
"TCGA-AF-6672",0,0,0
"TCGA-AF-A56K",0,0,0
"TCGA-AF-A56L",0,0,0
"TCGA-AF-A56N",0,0,0
"TCGA-AG-3574",0,0,0
"TCGA-AG-3575",0,0,0
"TCGA-AG-3578",0,0,0
"TCGA-AG-3580",0,0,0
"TCGA-AG-3581",0,0,0
"TCGA-AG-3582",0,0,0
"TCGA-AG-3583",0,0,0
"TCGA-AG-3584",0,0,0
"TCGA-AG-3586",0,0,0
"TCGA-AG-3587",0,0,0
"TCGA-AG-3591",0,0,0
"TCGA-AG-3592",0,0,0
"TCGA-AG-3593",0,0,0
"TCGA-AG-3594",0,0,0
"TCGA-AG-3598",0,0,0
"TCGA-AG-3599",0,0,0
"TCGA-AG-3600",0,0,0
"TCGA-AG-3601",0,0,0
"TCGA-AG-3602",0,0,0
"TCGA-AG-3605",0,0,0
"TCGA-AG-3608",0,0,0
"TCGA-AG-3609",0,0,0
"TCGA-AG-3611",0,0,1
"TCGA-AG-3612",0,0,0
"TCGA-AG-3725",0,0,0
"TCGA-AG-3726",0,0,0
"TCGA-AG-3727",0,0,0
"TCGA-AG-3728",0,0,-1
"TCGA-AG-3731",0,0,0
"TCGA-AG-3732",0,0,0
"TCGA-AG-3742",0,0,0
"TCGA-AG-3878",0,0,0
"TCGA-AG-3881",0,0,0
"TCGA-AG-3882",0,0,0
"TCGA-AG-3883",1,0,0
"TCGA-AG-3885",0,0,0
"TCGA-AG-3887",0,0,0
"TCGA-AG-3890",0,0,0
"TCGA-AG-3892",0,0,0
"TCGA-AG-3893",0,0,0
"TCGA-AG-3894",0,0,0
"TCGA-AG-3896",0,0,0
"TCGA-AG-3898",0,0,0
"TCGA-AG-3901",0,0,0
"TCGA-AG-3902",0,0,0
"TCGA-AG-3909",0,0,0
"TCGA-AG-3999",0,0,1
"TCGA-AG-4001",0,0,0
"TCGA-AG-4005",0,0,-1
"TCGA-AG-4007",0,0,0
"TCGA-AG-4008",0,0,0
"TCGA-AG-4015",0,0,0
"TCGA-AG-4021",0,0,1
"TCGA-AG-4022",0,0,0
"TCGA-AG-A002",0,0,0
"TCGA-AG-A008",0,0,0
"TCGA-AG-A00C",0,0,0
"TCGA-AG-A00H",0,0,0
"TCGA-AG-A00Y",0,0,0
"TCGA-AG-A011",0,0,0
"TCGA-AG-A014",0,0,1
"TCGA-AG-A015",0,0,0
"TCGA-AG-A016",0,0,1
"TCGA-AG-A01J",0,0,0
"TCGA-AG-A01L",0,0,0
"TCGA-AG-A01N",0,0,0
"TCGA-AG-A01W",0,0,0
"TCGA-AG-A01Y",0,0,0
"TCGA-AG-A020",0,0,0
"TCGA-AG-A023",0,0,0
"TCGA-AG-A025",0,0,0
"TCGA-AG-A026",0,0,0
"TCGA-AG-A02G",0,0,0
"TCGA-AG-A02N",0,0,0
"TCGA-AG-A02X",0,0,-1
"TCGA-AG-A032",0,0,0
"TCGA-AG-A036",0,0,0
"TCGA-AH-6544",0,0,0
"TCGA-AH-6547",0,0,0
"TCGA-AH-6643",1,0,0
"TCGA-AH-6644",0,0,0
"TCGA-AH-6897",0,0,0
"TCGA-AH-6903",0,0,0
"TCGA-BM-6198",0,0,0
"TCGA-CI-6619",0,0,0
"TCGA-CI-6620",0,0,0
"TCGA-CI-6621",0,0,0
"TCGA-CI-6622",0,0,0
"TCGA-CI-6623",0,0,0
"TCGA-CI-6624",0,0,0
"TCGA-CL-4957",0,0,0
"TCGA-CL-5917",0,0,0
"TCGA-CL-5918",0,0,0
"TCGA-DC-4745",0,0,0
"TCGA-DC-4749",0,0,0
"TCGA-DC-5337",0,0,0
"TCGA-DC-5869",0,0,0
"TCGA-DC-6154",0,0,0
"TCGA-DC-6155",0,0,0
"TCGA-DC-6156",0,0,0
"TCGA-DC-6157",0,0,0
"TCGA-DC-6158",0,1,0
"TCGA-DC-6160",0,0,0
"TCGA-DC-6681",0,0,0
"TCGA-DC-6682",0,0,0
"TCGA-DC-6683",0,0,0
"TCGA-DT-5265",0,0,0
"TCGA-DY-A0XA",0,0,0
"TCGA-DY-A1DC",0,0,0
"TCGA-DY-A1DD",0,0,0
"TCGA-DY-A1DE",0,0,0
"TCGA-DY-A1DF",0,0,-1
"TCGA-DY-A1DG",0,0,0
"TCGA-DY-A1H8",0,0,0
"TCGA-EF-5830",0,0,0
"TCGA-EF-5831",0,0,-1
"TCGA-EI-6506",0,0,0
"TCGA-EI-6507",0,0,0
"TCGA-EI-6508",0,0,0
"TCGA-EI-6509",0,0,0
"TCGA-EI-6510",0,0,0
"TCGA-EI-6511",0,0,0
"TCGA-EI-6512",0,0,0
"TCGA-EI-6513",0,0,0
"TCGA-EI-6514",0,0,0
"TCGA-EI-6881",0,0,0
"TCGA-EI-6882",0,0,0
"TCGA-EI-6883",0,0,0
"TCGA-EI-6884",0,0,0
"TCGA-EI-6885",0,0,0
"TCGA-EI-6917",0,0,0
"TCGA-EI-7002",0,0,0
"TCGA-EI-7004",0,0,0
"TCGA-F5-6464",0,0,0
"TCGA-F5-6465",0,0,0
"TCGA-F5-6571",0,0,0
"TCGA-F5-6702",0,0,1
"TCGA-F5-6810",0,0,0
"TCGA-F5-6811",0,0,0
"TCGA-F5-6812",0,0,0
"TCGA-F5-6813",1,0,0
"TCGA-F5-6814",0,0,0
"TCGA-F5-6861",0,0,0
"TCGA-F5-6863",0,0,0
"TCGA-F5-6864",0,0,0
"TCGA-G5-6233",0,0,0
"TCGA-G5-6235",0,0,0
"TCGA-G5-6572",0,0,0
"TCGA-G5-6641",0,0,0
"TCGA-2J-AAB1",NA,NA,NA
"TCGA-2J-AAB4",NA,NA,NA
"TCGA-2J-AAB6",NA,NA,NA
"TCGA-2J-AAB8",NA,NA,NA
"TCGA-2J-AAB9",NA,NA,NA
"TCGA-2J-AABA",NA,NA,NA
"TCGA-2J-AABE",NA,NA,NA
"TCGA-2J-AABF",NA,NA,NA
"TCGA-2J-AABH",NA,NA,NA
"TCGA-2J-AABI",NA,NA,NA
"TCGA-2J-AABK",NA,NA,NA
"TCGA-2J-AABO",NA,NA,NA
"TCGA-2J-AABP",NA,NA,NA
"TCGA-2J-AABR",NA,NA,NA
"TCGA-2J-AABT",NA,NA,NA
"TCGA-2J-AABU",NA,NA,NA
"TCGA-2J-AABV",NA,NA,NA
"TCGA-2L-AAQA",NA,NA,NA
"TCGA-2L-AAQE",NA,NA,NA
"TCGA-2L-AAQI",NA,NA,NA
"TCGA-2L-AAQJ",NA,NA,NA
"TCGA-2L-AAQL",NA,NA,NA
"TCGA-2L-AAQM",NA,NA,NA
"TCGA-3A-A9I5",NA,NA,NA
"TCGA-3A-A9I7",NA,NA,NA
"TCGA-3A-A9I9",NA,NA,NA
"TCGA-3A-A9IB",NA,NA,NA
"TCGA-3A-A9IC",NA,NA,NA
"TCGA-3A-A9IH",NA,NA,NA
"TCGA-3A-A9IJ",NA,NA,NA
"TCGA-3A-A9IL",NA,NA,NA
"TCGA-3A-A9IN",NA,NA,NA
"TCGA-3A-A9IO",NA,NA,NA
"TCGA-3A-A9IR",NA,NA,NA
"TCGA-3A-A9IS",NA,NA,NA
"TCGA-3A-A9IU",NA,NA,NA
"TCGA-3A-A9IV",NA,NA,NA
"TCGA-3A-A9IX",NA,NA,NA
"TCGA-3A-A9IZ",NA,NA,NA
"TCGA-3A-A9J0",NA,NA,NA
"TCGA-3E-AAAY",NA,NA,NA
"TCGA-3E-AAAZ",NA,NA,NA
"TCGA-F2-6879",NA,NA,NA
"TCGA-F2-6880",NA,NA,NA
"TCGA-F2-7273",NA,NA,NA
"TCGA-F2-7276",NA,NA,NA
"TCGA-F2-A44G",NA,NA,NA
"TCGA-F2-A44H",NA,NA,NA
"TCGA-F2-A7TX",NA,NA,NA
"TCGA-F2-A8YN",NA,NA,NA
"TCGA-FB-A4P5",NA,NA,NA
"TCGA-FB-A545",NA,NA,NA
"TCGA-FB-A5VM",NA,NA,NA
"TCGA-FB-A78T",NA,NA,NA
"TCGA-FB-A7DR",NA,NA,NA
"TCGA-FB-AAPP",NA,NA,NA
"TCGA-FB-AAPQ",NA,NA,NA
"TCGA-FB-AAPS",NA,NA,NA
"TCGA-FB-AAPU",NA,NA,NA
"TCGA-FB-AAPY",NA,NA,NA
"TCGA-FB-AAPZ",NA,NA,NA
"TCGA-FB-AAQ0",NA,NA,NA
"TCGA-FB-AAQ1",NA,NA,NA
"TCGA-FB-AAQ2",NA,NA,NA
"TCGA-FB-AAQ3",NA,NA,NA
"TCGA-FB-AAQ6",NA,NA,NA
"TCGA-FZ-5919",NA,NA,NA
"TCGA-FZ-5920",NA,NA,NA
"TCGA-FZ-5921",NA,NA,NA
"TCGA-FZ-5922",NA,NA,NA
"TCGA-FZ-5923",NA,NA,NA
"TCGA-FZ-5924",NA,NA,NA
"TCGA-FZ-5926",NA,NA,NA
"TCGA-H6-8124",NA,NA,NA
"TCGA-H6-A45N",NA,NA,NA
"TCGA-H8-A6C1",NA,NA,NA
"TCGA-HV-A5A3",NA,NA,NA
"TCGA-HV-A5A4",NA,NA,NA
"TCGA-HV-A5A5",NA,NA,NA
"TCGA-HV-A5A6",NA,NA,NA
"TCGA-HV-A7OL",NA,NA,NA
"TCGA-HV-A7OP",NA,NA,NA
"TCGA-HV-AA8V",NA,NA,NA
"TCGA-HV-AA8X",NA,NA,NA
"TCGA-HZ-7289",NA,NA,NA
"TCGA-HZ-7918",NA,NA,NA
"TCGA-HZ-7919",NA,NA,NA
"TCGA-HZ-7920",NA,NA,NA
"TCGA-HZ-7922",NA,NA,NA
"TCGA-HZ-7923",NA,NA,NA
"TCGA-HZ-7924",NA,NA,NA
"TCGA-HZ-7925",NA,NA,NA
"TCGA-HZ-7926",NA,NA,NA
"TCGA-HZ-8001",NA,NA,NA
"TCGA-HZ-8002",NA,NA,NA
"TCGA-HZ-8003",NA,NA,NA
"TCGA-HZ-8005",NA,NA,NA
"TCGA-HZ-8315",NA,NA,NA
"TCGA-HZ-8317",NA,NA,NA
"TCGA-HZ-8519",NA,NA,NA
"TCGA-HZ-8636",NA,NA,NA
"TCGA-HZ-8637",NA,NA,NA
"TCGA-HZ-8638",NA,NA,NA
"TCGA-HZ-A49G",NA,NA,NA
"TCGA-HZ-A49H",NA,NA,NA
"TCGA-HZ-A49I",NA,NA,NA
"TCGA-HZ-A4BH",NA,NA,NA
"TCGA-HZ-A4BK",NA,NA,NA
"TCGA-HZ-A77O",NA,NA,NA
"TCGA-HZ-A77P",NA,NA,NA
"TCGA-HZ-A77Q",NA,NA,NA
"TCGA-HZ-A8P0",NA,NA,NA
"TCGA-HZ-A8P1",NA,NA,NA
"TCGA-HZ-A9TJ",NA,NA,NA
