"","AKT2","ERBB2","CCNE1"
"TCGA-DD-A3A9",NA,NA,0
"TCGA-DD-A4NA",NA,NA,0
"TCGA-DD-A4NB",NA,NA,0
"TCGA-DD-A4ND",NA,NA,0
"TCGA-DD-A4NE",NA,NA,0
"TCGA-DD-A4NF",NA,NA,0
"TCGA-DD-A4NG",NA,NA,0
"TCGA-DD-A4NH",NA,NA,0
"TCGA-DD-A4NI",NA,NA,0
"TCGA-DD-A4NJ",NA,NA,0
"TCGA-DD-A4NK",NA,NA,0
"TCGA-DD-A4NL",NA,NA,0
"TCGA-DD-A4NN",NA,NA,0
"TCGA-DD-A4NO",NA,NA,0
"TCGA-DD-A4NP",NA,NA,0
"TCGA-DD-A4NQ",NA,NA,0
